column_order,varname,varTitle,longDescription,panelDataType,dictionaryDataType
101,CCBASIC,Carnegie Classification 2005/2010: Basic,"Carnegie Classification 2010 Update:  Basic Classification_x000D_
_x000D_
To ensure continuity of the classification framework and to allow comparison across years, the 2010 Classification update retains the same structure of six parallel classifications, initially adopted in 2005. They are as follows: Basic Classification (the traditional Carnegie Classification Framework), Undergraduate and Graduate Instructional Program classifications, Enrollment Profile and Undergraduate Profile classifications, and Size & Setting classification. These classifications provide different lenses through which to view U.S. colleges and universities, offering researchers greater analytic flexibility. _x000D_
_x000D_
These classifications are time-specific snapshots of institutional attributes and behavior based on data from 2008 to 2010. and collectively they depict the most current landscape of U.S. colleges and universities.   Institutions might be classified differently using a different timeframe. Individual classifications are not updated with more recent data._x000D_
_x000D_
***Note- Carnegie classifications for IPEDS years 2005-2009,  are the 2005 classifications, which were based on time-specific snapshots of institutional attributes and behavior based on data from 2003 to 2005._x000D_
_x000D_
The Basic Classification is an update of the traditional classification framework developed by the Carnegie Commission on Higher Education in 1970 to support its research program, and later published in 1973 for use by other researchers. Although this classification has undergone many changes over the years, the current release involves some significant changes from previous editions._x000D_
_x000D_
Associate’s Colleges. Includes institutions where all degrees are at the associate's level, or where bachelor's degrees account for less than 10 percent of all undergraduate degrees. Excludes institutions eligible for classification as Tribal Colleges or Special Focus Institutions._x000D_
_x000D_
Assoc/Pub-R-S: Associate’s—Public Rural-serving Small_x000D_
Assoc/Pub-R-M: Associate’s—Public Rural-serving Medium_x000D_
Assoc/Pub-R-L: Associate’s—Public Rural-serving Large_x000D_
Assoc/Pub-S-SC: Associate’s—Public Suburban-serving Single Campus_x000D_
Assoc/Pub-S-MC: Associate’s—Public Suburban-serving Multicampus_x000D_
Assoc/Pub-U-SC: Associate’s—Public Urban-serving Single Campus_x000D_
Assoc/Pub-U-MC: Associate’s—Public Urban-serving Multicampus_x000D_
Assoc/Pub-Spec: Associate’s—Public Special Use_x000D_
Assoc/PrivNFP: Associate’s—Private Not-for-profit_x000D_
Assoc/PrivFP: Associate’s—Private For-profit_x000D_
Assoc/Pub2in4: Associate’s—Public 2-year Colleges under Universities_x000D_
Assoc/Pub4: Associate’s—Public 4-year, Primarily Associate’s_x000D_
Assoc/PrivNFP4: Associate’s—Private Not-for-profit 4-year, Primarily Associate’s_x000D_
Assoc/PrivFP4: Associate’s—Private For-profit 4-year, Primarily Associate’s_x000D_
_x000D_
Doctorate-granting Universities. Includes institutions that award at least 20 doctoral degrees per year (excluding doctoral-level degrees that qualify recipients for entry into professional practice, such as the JD, MD, PharmD, DPT, etc.) Excludes Special Focus Institutions and Tribal Colleges._x000D_
_x000D_
RU/VH: Research Universities (very high research activity)_x000D_
RU/H: Research Universities (high research activity)_x000D_
DRU: Doctoral/Research Universities_x000D_
_x000D_
Master’s Colleges and Universities. Includes institutions that award at least 50 master's degrees per year. Excludes Special Focus Institutions and Tribal Colleges._x000D_
_x000D_
Master’s/L: Master’s Colleges and Universities (larger programs)_x000D_
Master’s/M: Master’s Colleges and Universities (medium programs)_x000D_
Master’s/S: Master’s Colleges and Universities (smaller programs)_x000D_
_x000D_
Baccalaureate Colleges. Includes institutions where baccalaureate degrees represent at least 10 percent of all undergraduate degrees and that award fewer than 50 master's degrees or fewer than 20 doctoral degrees per year. Excludes Special Focus Institutions and Tribal Colleges._x000D_
_x000D_
Bac/A&S: Baccalaureate Colleges—Arts & Sciences_x000D_
Bac/Diverse: Baccalaureate Colleges—Diverse Fields_x000D_
Bac/Assoc: Baccalaureate/Associate’s Colleges_x000D_
_x000D_
Special Focus Institutions. Institutions awarding baccalaureate or higher-level degrees where a high concentration of degrees is in a single field or set of related fields. Excludes Tribal Colleges._x000D_
_x000D_
Spec/Faith: Theological seminaries, Bible colleges, and other faith-related institutions_x000D_
Spec/Medical: Medical schools and medical centers_x000D_
Spec/Health: Other health profession schools_x000D_
Spec/Engg: Schools of engineering_x000D_
Spec/Tech: Other technology-related schools_x000D_
Spec/Bus: Schools of business and management_x000D_
Spec/Arts: Schools of art, music, and design_x000D_
Spec/Law: Schools of law_x000D_
Spec/Other: Other special-focus institutions_x000D_
Tribal Colleges. Colleges and universities that are members of the American Indian Higher Education Consortium, as identified in IPEDS Institutional Characteristics._x000D_
_x000D_
Tribal: Tribal Colleges_x000D_
_x000D_
For a complete description and technical details visit the Carnegie Foundation Website at www.carnegiefoundation.org/classifications/",string,N
102,CCENRPRF,Carnegie Classification 2005: Enrollment Profile,"Carnegie Classification 2010 Update: Enrollment Profile Classification

To ensure continuity of the classification framework and to allow comparison across years, the 2010 Classification update retains the same structure of six parallel classifications, initially adopted in 2005. They are as follows: Basic Classification (the traditional Carnegie Classification Framework), Undergraduate and Graduate Instructional Program classifications, Enrollment Profile and Undergraduate Profile classifications, and Size & Setting classification. These classifications provide different lenses through which to view U.S. colleges and universities, offering researchers greater analytic flexibility. 

These classifications are time-specific snapshots of institutional attributes and behavior based on data from 2008 to 2010. and collectively they depict the most current landscape of U.S. colleges and universities.   Institutions might be classified differently using a different timeframe. Individual classifications are not updated with more recent data.

***Note--Carnegie classifications for IPEDS years 2005-2009,  are the 2005 classifications, which were based on time-specific snapshots of institutional attributes and behavior based on data from 2003 to 2005.

By grouping institutions according to the mix of students enrolled at the undergraduate and graduate/professional levels, this classification provides a bird’s eye view of the student population. Exclusively undergraduate institutions are further broken down by level (two-year and four-year). For institutions with both undergraduate and graduate/professional students, institutions are grouped according to the distribution of full-time equivalent students across the two levels, giving an approximate measure of the student population’s “center of gravity.” As a result, it reflects important differences with respect to educational mission as well as institutional climate and culture—differences that can have implications for infrastructure, services, and resource allocation.

The categories are as follows:

ExU2: Exclusively undergraduate two-year. Fall enrollment data show only undergraduates enrolled, and at these associate’s degree granting institutions.

ExU4: Exclusively undergraduate four-year. Fall enrollment data show only undergraduates enrolled, at these bachelor’s granting institutions.

VHU: Very high undergraduate. Fall enrollment data show both undergraduate and graduate/professional students, with the latter group accounting for less than 10 percent of FTE* enrollment.

HU: High undergraduate. Fall enrollment data show both undergraduate and graduate/professional students, with the latter group accounting for at least 10–24 percent of FTE enrollment.

MU: Majority undergraduate. Fall enrollment data show both undergraduate and graduate/professional students, with the latter group accounting for 25–49 percent of FTE enrollment.

MGP: Majority graduate/professional. Fall enrollment data show both undergraduate and graduate/professional students, with the latter group accounting for at least half of FTE enrollment.

ExGP: Exclusively graduate/professional. Fall enrollment data show only graduate/professional students enrolled.

* FTE: Full-time equivalent enrollment was calculated as full-time plus one-third part-time.

For a complete description and technical details visit the Carnegie Foundation Website at www.carnegiefoundation.org/classifications/",string,N
103,CCIPGRAD,Carnegie Classification 2005: Graduate Instructional Program,"Carnegie Classification 2010 Update: Graduate Instructional Program

These classifications are time-specific snapshots of institutional attributes and behavior based on data from 2008 to 2010. and collectively they depict the most current landscape of U.S. colleges and universities.   

***Note-- Carnegie classifications for IPEDS years 2005-2009,  are the 2005 classifications, which were based on time-specific snapshots of institutional attributes and behavior based on data from 2003 to 2005.

Graduate Instructional Program Description

As a companion to the Undergraduate Instructional Program classification, this classification examines the nature of graduate education, with a special focus on the mix of graduate programs. In this classification, a single graduate-level degree qualifies an institution for inclusion.

The classification is based on the level of graduate degrees awarded (master’s/professional or doctoral), the number of fields represented by the degrees awarded, and the mix or concentration of degrees by broad disciplinary domain. The classification has two parts: one for institutions that do not award the doctorate, and one for doctoral-level institutions (based on the record of degree conferrals, not program offerings). Within each group, we then classify institutions with respect to the breadth of graduate offerings and the concentration of degrees in certain fields or combinations of fields.

For two categories of doctorate-granting institutions, we distinguish institutions offering medical education (defined as human or veterinary medical education, including allopathic medicine, osteopathic medicine, dentistry, and veterinary medicine). Institutions in other categories may also offer medical education, but the numbers were not large enough to justify subcategories and we judged it preferable to differentiate with respect to the other graduate fields, rather than with respect to the presence or absence of medical education.

NOTE: Because a single doctoral-level degree (as defined in the IPEDS data collection of the National Center for Education Statistics) qualifies an institution for inclusion in the doctoral categories, a small number of institutions with large master’s or professional programs and modest doctoral-level programs are currently classified according to their doctoral programs.

The categories are listed below. The term “comprehensive” is used here to denote comprehensiveness of offerings across a range of fields. This is a different usage from that in previous editions of the Carnegie Classification.

S-Postbac/Ed: Single Postbaccalaureate (education). Based on the degree data, these institutions award master’s degrees in education but not in other fields.
S-Postbac/Bus: Single Postbaccalaureate (business). Based on the degree data, these institutions award master’s degrees in business but not in other fields.
S-Postbac/Other: Single Postbaccalaureate (other field). Based on the degree data, these institutions award master’s or professional degrees in a single field other than education or business.
Postbac-Comp: Postbaccalaureate comprehensive. According to the degree data, these institutions award master’s degrees in the humanities, social sciences, and STEM* fields, and degrees in one or more professional fields.
Postbac-A&S: Postbaccalaureate, arts & sciences dominant. These institutions award master’s degrees in some arts and sciences fields. They may also award master’s or professional degrees in other fields, but in lesser numbers.
Postbac-A&S/Ed: Postbaccalaureate with arts & sciences (education dominant). These institutions award master’s degrees in some arts and sciences fields as well as degrees in professional fields, and the plurality of graduate degrees are in education.
Postbac-A&S/Bus: Postbaccalaureate with arts & sciences (business dominant). These institutions award master’s degrees in some arts and sciences fields as well as degrees in professional fields, and the plurality of graduate degrees are in business.
Postbac-A&S/Other: Postbaccalaureate with arts & sciences (other dominant fields). These institutions award master’s degrees in some arts and sciences fields as well as degrees in professional fields, and the plurality of graduate degrees are in a professional field other than business or education.
Postbac-Prof/Ed: Postbaccalaureate professional (education dominant). According to the degree data, these institutions award master’s or professional degrees in professional fields, and the plurality of graduate degrees are in education.
Postbac-Prof/Bus: Postbaccalaureate professional (business dominant). According to the degree data, these institutions award master’s or professional degrees in professional fields, and the plurality of graduate degrees are in business.
Postbac-Prof/Other: Postbaccalaureate professional (other dominant fields). According to the degree data, these institutions award master’s or professional degrees in professional fields, and the plurality of graduate degrees are in a field other than business or education.
S-Doc/Ed: Single doctoral (education). Based on the degree data, these institutions award doctoral degrees in education but do not offer other graduate/professional education.
S-Doc/Other: Single doctoral (other field). Based on the degree data, these institutions award doctoral degrees in a single field other than education.
CompDoc/MedVet: Comprehensive doctoral with medical/veterinary. According to the degree data, these institutions award doctoral degrees in the humanities, social sciences, and STEM* fields, and they also award degrees in medicine, dentistry, and/or veterinary medicine. They also offer professional education in other health professions or in fields such as business, education, engineering, law, public policy, or social work.
CompDoc/NMedVet: Comprehensive doctoral (no medical/veterinary). According to the degree data, these institutions award doctoral degrees in the humanities, social sciences, and STEM* fields. They also offer professional education in fields such as business, education, engineering, law, public policy, social work, or health professions other than medicine, dentistry, or veterinary medicine.
Doc/HSS: Doctoral, humanities/social sciences dominant. According to the degree data, these institutions award doctoral degrees in a range of fields, with the plurality in the humanities or social sciences. They may also offer professional education at the doctoral level or in fields such as law or medicine.
Doc/STEM: Doctoral, STEM dominant. According to the degree data, these institutions award doctoral degrees in a range of fields, with the plurality in the STEM* fields. They may also offer professional education at the doctoral level or in fields such as law or medicine.
Doc/Prof: Doctoral, professions dominant. According to the degree data, these institutions award doctoral degrees in a range of fields, with the plurality in the professions other than engineering (such as education, health professions, public policy, or social work). They may also offer professional education in law or medicine.

* STEM: Science, technology, engineering, and mathematics.

For a complete description and technical details visit the Carnegie Foundation Website at www.carnegiefoundation.org/classifications/",string,N
104,CCIPUG,Carnegie Classification 2005: Undergraduate Instructional Program,"Carnegie Classification 2010 Update: Undergraduate Instructional Program

These classifications are time-specific snapshots of institutional attributes and behavior based on data from 2008 to 2010. and collectively they depict the most current landscape of U.S. colleges and universities.   Institutions might be classified differently using a different timeframe. Individual classifications are not updated with more recent data.

***Note--Carnegie classifications for IPEDS years 2005-2009,  are the 2005 classifications, which were based on time-specific snapshots of institutional attributes and behavior based on data from 2003 to 2005.

The instructional program classification is based on three pieces of information: the level of undergraduate degrees awarded (associate’s or bachelor’s), the proportion of bachelor’s degree majors in the arts and sciences and in professional fields, and the extent to which an institution awards graduate degrees in the same fields in which it awards undergraduate degrees.

The distinction between arts and sciences and professional undergraduate majors is one that has been made in the Classification since 1987 (but only for undergraduate colleges), and researchers and others in the higher education community have also made similar distinctions. We are extending and elaborating the previous analysis by (1) applying it to almost all baccalaureate-level institutions, (2) making finer distinctions along the arts & sciences – professions continuum, and (3) recognizing a “middle ground” where the two domains exist in relative balance with respect to graduating students’ major concentrations. 

A high concentration of majors in the arts and sciences is not the same as a liberal arts education, and we do not view any particular location on this continuum as the special province of liberal education. Examples of high-quality liberal education exist across the spectrum.

Some institutions enroll no graduate students. Others may have graduate programs that operate relatively independently of the undergraduate program (such as a law school). Still others offer graduate education in most or all fields where they have undergraduate programs. And of course, some institutions fall between these extremes. By examining the number of undergraduate fields in which we also see graduate degrees, we can locate institutions along this continuum of undergraduate-graduate “coexistence.” Departments that teach only undergraduates can differ in many ways from those that also train graduate students. Examples of such differences include faculty activities and instructional resources.

It is important to emphasize that we do not view these continua (arts & sciences – professions or graduate coexistence) as signifying gradations in value or quality.
The categories are as follows:

Assoc: Associate’s. According to the degree data, these institutions awarded associate’s degrees but no bachelor’s degrees.

Assoc-Dom: Associate’s Dominant. These institutions awarded both associate’s and bachelor’s degrees, but the majority of degrees awarded were at the associate’s level.

A&S-F/NGC: Arts & sciences focus, no graduate coexistence. According to the degree data, at least 80 percent of bachelor’s degree majors were in the arts and sciences, and no graduate degrees were awarded in fields corresponding to undergraduate majors.

A&S-F/SGC: Arts & sciences focus, some graduate coexistence. At least 80 percent of bachelor’s degree majors were in the arts and sciences, and graduate degrees were observed in some of the fields corresponding to undergraduate majors (but less than half).

A&S-F/HGC: Arts & sciences focus, high graduate coexistence. At least 80 percent of bachelor’s degree majors were in the arts and sciences, and graduate degrees were observed in at least half of the fields corresponding to undergraduate majors.

A&S+Prof/NGC: Arts & sciences plus professions, no graduate coexistence. According to the degree data, 60–79 percent of bachelor’s degree majors were in the arts and sciences, and no graduate degrees were awarded in fields corresponding to undergraduate majors.

A&S+Prof/SGC: Arts & sciences plus professions, some graduate coexistence. 60–79 percent of bachelor’s degree majors were in the arts and sciences, and graduate degrees were observed in some of the fields corresponding to undergraduate majors (but less than half).

A&S+Prof/HGC: Arts & sciences plus professions, high graduate coexistence. 60–79 percent of bachelor’s degree majors were in the arts and sciences, and graduate degrees were observed in at least half of the fields corresponding to undergraduate majors.

Bal/NGC: Balanced arts & sciences/professions, no graduate coexistence. According to the degree data, bachelor’s degree majors were relatively balanced between arts and sciences and professional fields (41–59 percent in each), and no graduate degrees were awarded in fields corresponding to undergraduate majors.

Bal/SGC: Balanced arts & sciences/professions, some graduate coexistence. Bachelor’s degree majors were relatively balanced between arts and sciences and professional fields (41–59 percent in each), and graduate degrees were observed in some of the fields corresponding to undergraduate majors (but less than half).

Bal/HGC: Balanced arts & sciences/professions, high graduate coexistence. Bachelor’s degree majors were relatively balanced between arts and sciences and professional fields (41–59 percent in each), and graduate degrees were observed in at least half of the fields corresponding to undergraduate majors.

Prof+A&S/NGC: Professions plus arts & sciences, no graduate coexistence. According to the degree data, 60–79 percent of bachelor’s degree majors were in professional fields (such as business, education, engineering, health, and social work), and no graduate degrees were awarded in fields corresponding to undergraduate majors.

Prof+A&S/SGC: Professions plus arts & sciences, some graduate coexistence. 60–79 percent of bachelor’s degree majors were in professional fields, and graduate degrees were observed in some of the fields corresponding to undergraduate majors (but less than half).

Prof+A&S/HGC: Professions plus arts & sciences, high graduate coexistence. 60–79 percent of bachelor’s degree majors were in professional fields, and graduate degrees were observed in at least half of the fields corresponding to undergraduate majors.

Prof-F/NGC: Professions focus, no graduate coexistence. According to the degree data, at least 80 percent of bachelor’s degree majors were in professional fields (such as business, education, engineering, health, and social work), and no graduate degrees were awarded in fields corresponding to undergraduate majors.

Prof-F/SGC: Professions focus, some graduate coexistence. At least 80 percent of bachelor’s degree majors were in professional fields, and graduate degrees were observed in some of the fields corresponding to undergraduate majors (but less than half).

Prof-F/HGC: Professions focus, high graduate coexistence. At least 80 percent of bachelor’s degree majors were in professional fields, and graduate degrees were observed in at least half of the fields corresponding to undergraduate majors.

For a complete description and technical details visit the Carnegie Foundation Website at www.carnegiefoundation.org/classifications/",string,N
105,CCSIZSET,Carnegie Classification 2005: Size and Setting,"Carnegie Classification 2010 Update: Size and Setting Classification

To ensure continuity of the classification framework and to allow comparison across years, the 2010 Classification update retains the same structure of six parallel classifications, initially adopted in 2005. They are as follows: Basic Classification (the traditional Carnegie Classification Framework), Undergraduate and Graduate Instructional Program classifications, Enrollment Profile and Undergraduate Profile classifications, and Size & Setting classification. These classifications provide different lenses through which to view U.S. colleges and universities, offering researchers greater analytic flexibility. 

These classifications are time-specific snapshots of institutional attributes and behavior based on data from 2008 to 2010. and collectively they depict the most current landscape of U.S. colleges and universities.   Institutions might be classified differently using a different timeframe. Individual classifications are not updated with more recent data.

***Note--Carnegie classifications for IPEDS years 2005-2009,  are the 2005 classifications, which were based on time-specific snapshots of institutional attributes and behavior based on data from 2003 to 2005.

This classification describes institutions’ size and residential character. Because residential character applies to the undergraduate student body, exclusively graduate/professional institutions are not included. 

Size matters. It is related to institutional structure, complexity, culture, finances, and other factors. Indeed, it is probably the most influential omitted variable in the 1970 classification framework. Residential or nonresidential character reflects aspects of the campus environment, student population served, and the mix of programs and services that an institution provides.

Four-year institutions are divided into four categories of full-time equivalent (FTE) enrollment and three categories of residential character. Neither characteristic implies differences in the quality of undergraduate education, but an institution’s location along the two continua generally corresponds to a distinctive mix of educational challenges and opportunities. Because few two-year institutions serve a residential population, these institutions are classified solely based on FTE enrollment.

The residential character measure is based on two attributes: the proportion of degree-seeking undergraduates who attend full-time and the proportion living in institutionally-owned, -operated, or -affiliated housing. It is important to note the variety of situations of students who do not live in college or university housing. Some are true “commuting” students, while others may live with other students in rental housing on the periphery of campus, and still others are distance education students who rarely or never set foot on a campus.

The categories are as follows:

VS2: Very small two-year. Fall enrollment data show FTE* enrollment of fewer than 500 students at these associate’s degree granting institutions.

S2: Small two-year. Fall enrollment data show FTE enrollment of 500–1,999 students at these associate’s degree granting institutions.

M2: Medium two-year. Fall enrollment data show FTE enrollment of 2,000–4,999 students at these associate’s degree granting institutions.

L2: Large two-year. Fall enrollment data show FTE enrollment of 5,000–9,999 students at these associate’s degree granting institutions.

VL2: Very large two-year. Fall enrollment data show FTE enrollment of at least 10,000 students at these associate’s degree granting institutions.

VS4/NR: Very small four-year, primarily nonresidential. Fall enrollment data show FTE enrollment of fewer than 1,000 degree-seeking students at these bachelor’s degree granting institutions. Fewer than 25 percent of degree-seeking undergraduates live on campus** (includes exclusively distance education institutions). 

VS4/R: Very small four-year, primarily residential. Fall enrollment data show FTE enrollment of fewer than 1,000 degree-seeking students at these bachelor’s degree granting institutions. 25-49 percent of degree-seeking undergraduates live on campus.

VS4/HR: Very small four-year, highly residential. Fall enrollment data show FTE enrollment of fewer than 1,000 degree-seeking students at these bachelor’s degree granting institutions. At least half of degree-seeking undergraduates live on campus.

S4/NR: Small four-year, primarily nonresidential. Fall enrollment data show FTE enrollment of 1,000–2,999 degree-seeking students at these bachelor’s degree granting institutions. Fewer than 25 percent of degree-seeking undergraduates live on campus (includes exclusively distance education institutions).

S4/R: Small four-year, primarily residential. Fall enrollment data show FTE enrollment of 1,000–2,999 degree-seeking students at these bachelor’s degree granting institutions. 25-49 percent of degree-seeking undergraduates live on campus.

S4/HR: Small four-year, highly residential. Fall enrollment data show FTE enrollment of 1,000–2,999 degree-seeking students at these bachelor’s degree granting institutions. At least half of degree-seeking undergraduates live on campus.

M4/NR: Medium four-year, primarily nonresidential. Fall enrollment data show FTE enrollment of 3,000–9,999 degree-seeking students at these bachelor’s degree granting institutions. Fewer than 25 percent of degree-seeking undergraduates live on campus (includes exclusively distance education institutions).

M4/R: Medium four-year, primarily residential. Fall enrollment data show FTE enrollment of 3,000–9,999 degree-seeking students at these bachelor’s degree granting institutions. 25-49 percent of degree-seeking undergraduates live on campus.

M4/HR: Medium four-year, highly residential. Fall enrollment data show FTE enrollment of 3,000–9,999 degree-seeking students at these bachelor’s degree granting institutions. At least half of degree-seeking undergraduates live on campus.

L4/NR: Large four-year, primarily nonresidential. Fall enrollment data show FTE enrollment of at least 10,000 degree-seeking students at these bachelor’s degree granting institutions. Fewer than 25 percent of degree-seeking undergraduates live on campus (includes exclusively distance education institutions).

L4/R: Large four-year, primarily residential. Fall enrollment data show FTE enrollment of at least 10,000 degree-seeking students at these bachelor’s degree granting institutions. 25-49 percent of degree-seeking undergraduates live on campus.

L4/HR: Large four-year, highly residential. Fall enrollment data show FTE enrollment of at least 10,000 degree-seeking students at these bachelor’s degree granting institutions. At least half of degree-seeking undergraduates live on campus.

* FTE: Full-time equivalent enrollment was calculated as full-time plus one-third part-time.

** On campus is defined as institutionally-owned, -controlled, or -affiliated housing.

For a complete description and technical details visit the Carnegie Foundation Website at www.carnegiefoundation.org/classifications/",string,N
106,CCUGPROF,Carnegie Classification 2005: Undergraduate Profile,"Carnegie Classification 2010 Update: Undergraduate Profile
To ensure continuity of the classification framework and to allow comparison across years, the 2010 Classification update retains the same structure of six parallel classifications, initially adopted in 2005. They are as follows: Basic Classification (the traditional Carnegie Classification Framework), Undergraduate and Graduate Instructional Program classifications, Enrollment Profile and Undergraduate Profile classifications, and Size & Setting classification. These classifications provide different lenses through which to view U.S. colleges and universities, offering researchers greater analytic flexibility. 

These classifications are time-specific snapshots of institutional attributes and behavior based on data from 2008 to 2010. and collectively they depict the most current landscape of U.S. colleges and universities.   Institutions might be classified differently using a different timeframe. Individual classifications are not updated with more recent data.

***Note--Carnegie classifications for IPEDS years 2005-2009,  are the 2005 classifications, which were based on time-specific snapshots of institutional attributes and behavior based on data from 2003 to 2005.

This new classification describes the undergraduate population with respect to three characteristics: the proportion who attend part- or full-time; achievement characteristics of first-year students; and the proportion of entering students who transfer in from another institution. Each of these captures important differences in the nature of the undergraduate population. They do not imply differences in the quality of undergraduate education, but they have implications for how an institution serves its students.

PT2: Higher part-time two-year. Fall enrollment data show at least 60 percent of undergraduates enrolled part-time at these associate’s degree granting institutions.

Mix2: Mixed part/full-time two-year. Fall enrollment data show 40–59 percent of undergraduates enrolled part-time at these associate’s degree granting institutions.

MFT2: Medium full-time two-year. Fall enrollment data show 10–39 percent of undergraduates enrolled part-time at these associate’s degree granting institutions.

FT2: Higher full-time two-year. Fall enrollment data show less than 10 percent of undergraduates enrolled part-time at these associate’s degree granting institutions.

PT4: Higher part-time four-year. Fall enrollment data show at least 40 percent of undergraduates enrolled part-time at these bachelor’s degree granting institutions.

MFT4/I: Medium full-time four-year, inclusive. Fall enrollment data show 60–79 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. These institutions either did not report test score data or the scores indicate that they extend educational opportunity to a wide range of students with respect to academic preparation and achievement.

MFT4/S/LTI: Medium full-time four-year, selective, lower transfer-in. Fall enrollment data show 60–79 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. Score data for first-year students indicate that these institutions are selective in admissions (our analysis of first-year students’ test scores places most of these institutions in roughly the middle two-fifths of baccalaureate institutions). Fewer than 20 percent of entering undergraduates are transfer students.

MFT4/S/HTI: Medium full-time four-year, selective, higher transfer-in. Fall enrollment data show 60–79 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. Score data for first-year students indicate that these institutions are selective in admissions (our analysis of first-year students’ test scores places most of these institutions in roughly the middle two-fifths of baccalaureate institutions). At least 20 percent of entering undergraduates are transfer students.

FT4/I: Full-time four-year, inclusive. Fall enrollment data show at least 80 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. These institutions either did not report test score data or the scores indicate that they extend educational opportunity to a wide range of students with respect to academic preparation and achievement.

FT4/S/LTI: Full-time four-year, selective, lower transfer-in. Fall enrollment data show at least 80 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. Score data for first-year students indicate that these institutions are selective in admissions (our analysis of first-year students’ test scores places these institutions in roughly the middle two-fifths of baccalaureate institutions). Fewer than 20 percent of entering undergraduates are transfer students.

FT4/S/HTI: Full-time four-year, selective, higher transfer-in. Fall enrollment data show at least 80 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. Score data for first-year students indicate that these institutions are selective in admissions (our analysis of first-year students’ test scores places these institutions in roughly the middle two-fifths of baccalaureate institutions). At least 20 percent of entering undergraduates are transfer students.

FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in. Fall enrollment data show at least 80 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. Score data for first-year students indicate that these institutions are more selective in admissions (our analysis of first-year students’ test scores places these institutions in roughly the top fifth of baccalaureate institutions). Fewer than 20 percent of entering undergraduates are transfer students.

FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in. Fall enrollment data show at least 80 percent of undergraduates enrolled full-time at these bachelor’s degree granting institutions. Score data for first-year students indicate that these institutions are more selective in admissions (our analysis of first-year students’ test scores places these institutions in roughly the top fifth of baccalaureate institutions). At least 20 percent of entering undergraduates are transfer students.

For a complete description and technical details visit the Carnegie Foundation Website at www.carnegiefoundation.org/classifications/",string,N
107,CHFNM,Name of chief administrator,"Name of chief administrator of institution_x000D_
-1 - Not reported_x000D_
-2 - Not applicable_x000D_
-9 -  not active",string,A
108,CHFTITLE,Title of chief administrator,"Title of chief administrator of institution_x000D_
-1 - Not reported_x000D_
-2 - Not applicable_x000D_
-9 - not active",string,A
109,CHG1AF0,Published in-district fees 2006-07,"Price of attendance for full-time, first-time undergraduate students for the FULL ACADEMIC YEAR: (Tuition and fees, books and supplies, food and housing, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site_x000D_
_x000D_
In-district required fees for 2021-22 _x000D_
IN-DISTRICT TUITION - The fees charged by the institution to those students residing in the locality in which they attend school. This may be a lower rate than in-state fee if offered by the institution._x000D_
REQUIRED FEES - Required fees are fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception. _x000D_
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. _x000D_
FULL-TIME Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term _x000D_
FIRST-TIME FIRST-YEAR STUDENT - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in the fall term who attended college for the first time in the prior summer term. Also includes students who entered with advanced standing (college credits earned before graduation from high school)._x000D_
FIRST-YEAR STUDENT A student who has completed less than the equivalent of 1 full year of undergraduate work; that is, less than 30 semester hours (in a 120-hour degree program) or less than 900 clock hours. _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan. Also included are ""Other Academic calendar Systems"" which is a category used to describe ""non-traditional"" calendar systems at 4-year and 2-year degree-granting institutions. These can include schools that offer primarily on-line courses or ""one course at a time"".",double,N
110,XCHG1AF0,Imputation flag for CHG1AF0,Synthetic dictionary row generated from imputationvar mapping.,string,
